id,name
1,Logitech
2,Asus
3,HyperX
4,Akko
5,Steelseries
6,Philips
7,LG
8,Dell
9,AOC
10,ViewSonic
11,Acer
12,Razer
13,Corsair
14,Cooler Master
15,Microlab
16,SoundMax
17,HP
