id,product_id,image_id
1,1,1
2,1,2
3,1,3
4,2,4
5,2,5
6,2,6
7,3,7
8,3,8
9,3,9
10,4,10
11,4,11
12,4,12
13,5,13
14,5,14
15,5,15
16,6,16
17,6,17
18,6,18
19,7,19
20,7,20
21,7,21
22,8,22
23,8,23
24,8,24
25,9,25
26,9,26
27,9,27
28,10,28
29,10,29
30,10,30
31,11,31
32,11,32
33,11,33
34,12,34
35,12,35
36,12,36
37,13,37
38,13,38
39,13,39
40,14,40
41,14,41
42,14,42
43,15,43
44,15,44
45,15,45
46,16,46
47,16,47
48,16,48
49,17,49
50,17,50
51,17,51
52,18,52
53,18,53
54,19,54
55,19,55
56,19,56
57,20,57
58,20,58
59,20,59
60,21,60
61,21,61
62,21,62
63,22,63
64,22,64
65,22,65
66,23,66
67,23,67
68,23,68
69,24,69
70,24,70
71,24,71
72,25,72
73,25,73
74,25,74
75,26,75
76,26,76
77,26,77
78,27,78
79,27,79
80,27,80
81,28,81
82,28,82
83,28,83
84,29,84
85,29,85
86,29,86
87,30,87
88,30,88
89,30,89
90,31,90
91,31,91
92,31,92
93,32,93
94,32,94
95,32,95
96,33,96
97,33,97
98,33,98
99,34,99
100,34,100
101,34,101
102,35,102
103,35,103
104,35,104
105,36,105
106,36,106
107,36,107
108,37,108
109,37,109
110,37,110
111,38,111
112,38,112
113,38,113
114,39,114
115,39,115
116,39,116
117,40,117
118,40,118
119,40,119
120,41,120
121,41,121
122,41,122
123,42,123
124,42,124
125,42,125
126,43,126
127,43,127
128,43,128
129,44,129
130,44,130
131,45,131
132,45,132
133,45,133
134,46,134
135,46,135
136,47,136
137,47,137
138,48,138
139,48,139
140,48,140
141,49,141
142,49,142
143,49,143
144,50,144
145,51,145
146,51,146
147,51,147
148,52,148
149,52,149
150,52,150
151,53,151
152,53,152
153,53,153
154,54,154
155,54,155
156,54,156
157,55,157
158,55,158
159,55,159
160,56,160
161,56,161
162,56,162
163,57,163
164,57,164
165,58,165
166,58,166
167,58,167
168,59,168
169,59,169
170,59,170
171,60,171
172,60,172
173,60,173
