id,name
1,Logitech
2,Asus
3,HyperX
4,Akko
5,Steelseries
6,Philips
7,LG
8,Dell
9,AOC
10,Zidli
11,ViewSonic
12,Acer
13,Razer
14,Corsair
15,Cooler Master
16,Microlab
17,SoundMax
18,HP
19,Dareu
20,Rapoo
